Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Pune,Potato,Other,FAQ,400,600,500,26-Dec-08
2,Pune,Pune,Potato,Other,FAQ,500,800,650,22-Feb-12
3,Pune,Pune,Potato,Other,FAQ,1500,2200,1850,16-Nov-22
4,Pune,Pune,Potato,Local,FAQ,1000,2800,1900,26-Dec-24
5,Pune,Pune,Potato,Other,FAQ,700,1400,1200,11-Oct-16
6,Pune,Pune,Potato,Other,FAQ,400,600,500,03-Dec-08
7,Pune,Pune,Potato,Other,FAQ,1700,2400,2050,14-Nov-13
8,Pune,Pune,Potato,Other,FAQ,700,1200,950,01-Mar-15
9,Pune,Pune,Potato,Other,FAQ,800,1600,1200,04-Oct-21
10,Pune,Pune,Potato,Other,FAQ,700,1100,900,12-Jun-07
11,Pune,Pune,Potato,Other,FAQ,900,1500,1200,24-Feb-21
12,Pune,Pune,Potato,Other,FAQ,1400,2200,1800,06-Apr-20
13,Pune,Pune,Potato,Local,FAQ,850,1400,1125,17-Jul-23
14,Pune,Pune,Potato,Other,FAQ,800,1500,1150,10-Jan-22
15,Pune,Pune,Potato,Other,FAQ,1700,2000,1850,11-Jun-20
16,Pune,Pune,Potato,Local,FAQ,1000,2000,1500,20-Jul-23
17,Pune,Pune,Potato,Local,Local,1400,2200,1800,08-Jun-25
18,Pune,Pune,Potato,Other,FAQ,700,1000,850,30-May-06
19,Pune,Pune,Potato,Other,FAQ,700,1100,900,08-Jul-11
20,Pune,Pune,Potato,Other,FAQ,1500,1900,1700,28-Apr-14
21,Pune,Pune,Potato,Other,FAQ,1300,1800,1700,24-May-16
22,Pune,Pune,Potato,Other,FAQ,1600,2200,1900,27-Jul-14
23,Pune,Pune,Potato,Other,FAQ,600,1200,900,03-May-15
24,Pune,Pune,Potato,Other,FAQ,400,800,700,27-Feb-17
25,Pune,Pune,Potato,Other,FAQ,700,1200,950,21-Nov-05
26,Pune,Pune,Potato,Other,FAQ,500,900,800,05-Jul-17
27,Pune,Pune,Potato,Other,FAQ,1300,1700,1500,14-Jun-18
28,Pune,Pune,Potato,Other,FAQ,500,850,700,13-Feb-17
29,Pune,Pune,Potato,Other,FAQ,1400,2400,1800,19-Dec-22
30,Pune,Pune,Potato,Other,FAQ,500,2000,1100,26-Nov-18
31,Pune,Pune,Potato,Other,FAQ,1500,2400,1950,22-Dec-22
32,Pune,Pune,Potato,Other,FAQ,1000,1700,1400,01-Apr-18
33,Pune,Pune,Potato,Other,FAQ,1200,1700,1500,25-May-18
34,Pune,Pune,Potato,Other,FAQ,700,1000,850,02-Oct-06
35,Pune,Pune,Potato,Other,FAQ,900,1600,1250,26-May-21
36,Pune,Pune,Potato,Other,FAQ,700,1100,900,17-Dec-07
37,Pune,Pune,Potato,Other,FAQ,700,1400,1050,07-Mar-21
38,Pune,Pune,Potato,Other,FAQ,450,750,600,06-Apr-11
39,Pune,Pune,Potato,Other,FAQ,1000,1600,1350,07-Oct-19
40,Pune,Pune,Potato,Other,FAQ,700,1200,950,31-Aug-07
41,Pune,Pune,Potato,Other,FAQ,1200,2000,1600,27-Dec-13
42,Pune,Pune,Potato,Other,FAQ,500,1200,850,16-Mar-15
43,Pune,Pune,Potato,Local,FAQ,1200,2000,1600,04-Jun-23
44,Pune,Pune,Potato,Other,FAQ,450,850,650,21-Feb-08
45,Pune,Pune,Potato,Other,FAQ,1200,2000,1500,13-May-18
46,Pune,Pune,Potato,Other,FAQ,1000,1900,1700,21-Feb-20
47,Pune,Pune,Potato,Other,FAQ,500,800,600,30-Jan-17
48,Pune,Pune,Potato,Local,Local,1500,2000,1750,30-Jan-25
49,Pune,Pune,Potato,Other,FAQ,2000,2400,2200,08-Aug-14
50,Pune,Pune,Potato,Other,FAQ,800,1300,1200,20-Oct-15
51,Pune,Pune,Potato,Other,FAQ,700,1400,1050,23-Jan-13
52,Pune,Pune,Potato,Other,FAQ,600,1100,850,19-Feb-10
53,Pune,Pune,Potato,Other,FAQ,1000,1500,1300,31-Mar-16
54,Pune,Pune,Potato,Other,FAQ,400,700,550,02-Feb-07
55,Pune,Pune,Potato,Other,FAQ,800,1900,1300,06-May-19
56,Pune,Pune,Potato,Other,FAQ,1500,2500,2000,21-Nov-13
57,Pune,Pune,Potato,Other,FAQ,1000,1700,1350,28-Feb-22
58,Pune,Pune,Potato,Other,FAQ,1250,1800,1520,08-May-13
59,Pune,Pune,Potato,Other,FAQ,1200,1900,1500,27-Apr-16
60,Pune,Pune,Potato,Other,FAQ,600,1100,850,25-Aug-11
61,Pune,Pune,Potato,Other,FAQ,1500,2000,1750,01-Jan-23
62,Pune,Pune,Potato,Local,FAQ,1200,2100,1650,23-Jun-23
63,Pune,Pune,Potato,Other,FAQ,300,1200,1000,06-Oct-17
64,Pune,Pune,Potato,Other,FAQ,700,1200,1000,26-Feb-18
65,Pune,Pune,Potato,Other,FAQ,1200,2400,1800,06-Jan-21
66,Pune,Pune,Potato,Other,FAQ,800,1400,1200,28-Feb-21
67,Pune,Pune,Potato,Local,FAQ,1600,4000,2800,10-Dec-24
68,Pune,Pune,Potato,Other,FAQ,2200,2400,2300,02-Jul-20
69,Pune,Pune,Potato,Other,FAQ,400,800,600,31-Jan-12
70,Pune,Pune,Potato,Other,FAQ,1200,2700,1950,23-Dec-14
71,Pune,Pune,Potato,Other,FAQ,400,700,550,04-Apr-07
72,Pune,Pune,Potato,Other,FAQ,900,1100,1000,05-Jun-11
73,Pune,Pune,Potato,Local,Local,1400,2100,1750,04-Jul-25
74,Pune,Pune,Potato,Other,FAQ,1200,2100,1650,29-Dec-13
75,Pune,Pune,Potato,Other,FAQ,800,1500,1150,17-May-21
76,Pune,Pune,Potato,Other,FAQ,1500,2200,1800,12-Dec-19
77,Pune,Pune,Potato,Other,FAQ,500,800,650,25-Apr-06
78,Pune,Pune,Potato,Other,FAQ,1400,2200,1800,19-Oct-18
79,Pune,Pune,Potato,Local,FAQ,1000,1800,1400,11-Sep-23
80,Pune,Pune,Potato,Other,FAQ,1600,1900,1700,30-Jun-16
81,Pune,Pune,Potato,Other,FAQ,700,1200,950,25-Nov-05
82,Pune,Pune,Potato,Other,FAQ,400,700,550,29-Apr-08
83,Pune,Pune,Potato,Other,FAQ,400,800,700,20-Jul-17
84,Pune,Pune,Potato,Other,FAQ,1000,1800,1400,07-Apr-22
85,Pune,Pune,Potato,Other,FAQ,500,800,650,14-Mar-10
86,Pune,Pune,Potato,Other,FAQ,800,1500,1150,02-Jan-22
87,Pune,Pune,Potato,Other,FAQ,600,1100,850,18-Jun-07
88,Pune,Pune,Potato,Other,FAQ,800,1400,1100,10-Feb-19
89,Pune,Pune,Potato,Other,FAQ,600,700,650,04-Mar-10
90,Pune,Pune,Potato,Other,FAQ,650,1000,825,04-Jul-06
91,Pune,Pune,Potato,Other,FAQ,300,900,700,02-Dec-16
92,Pune,Pune,Potato,Other,FAQ,550,750,650,23-Feb-06
93,Pune,Pune,Potato,Other,FAQ,700,1100,900,16-Nov-05
94,Pune,Pune,Potato,Other,FAQ,2000,2500,2250,29-Jul-20
95,Pune,Pune,Potato,Other,FAQ,1800,2400,2200,16-Dec-19
96,Pune,Pune,Potato,Local,FAQ,1400,2000,1700,03-Jan-24
97,Pune,Pune,Potato,Other,FAQ,1000,2000,1500,08-May-23
98,Pune,Pune,Potato,Other,FAQ,500,1200,850,31-Mar-15
99,Pune,Pune,Potato,Other,FAQ,800,1600,1400,02-Oct-16
100,Pune,Pune,Potato,Local,FAQ,2500,3100,2800,30-Jun-24
101,Pune,Pune,Potato,Other,FAQ,650,850,750,01-Apr-09
102,Pune,Pune,Potato,Other,FAQ,1200,1700,1500,04-Sep-18
103,Pune,Pune,Potato,Other,FAQ,1200,1600,1400,30-Dec-12
104,Pune,Pune,Potato,Other,FAQ,1000,1700,1350,04-Oct-19
105,Pune,Pune,Potato,Other,FAQ,600,1200,900,21-May-10
106,Pune,Pune,Potato,Other,FAQ,2500,3500,3000,18-Nov-20
107,Pune,Pune,Potato,Other,FAQ,600,1100,800,28-Jan-18
108,Pune,Pune,Potato,Other,FAQ,900,1300,1200,11-Aug-19
109,Pune,Pune,Potato,Other,FAQ,1400,1700,1550,23-Jul-12
