Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Pune,Rice,1009 Kar,FAQ,1700,6500,4100,28-Jan-12
2,Pune,Pune,Rice,1009 Kar,FAQ,2000,8500,5250,10-May-13
3,Pune,Pune,Rice,1009 Kar,FAQ,1750,7500,4625,31-Oct-11
4,Pune,Pune,Rice,1009 Kar,FAQ,1600,7800,4700,23-Feb-10
5,Pune,Pune,Rice,1009 Kar,FAQ,1600,8100,4850,31-Mar-12
6,Pune,Pune,Rice,1009 Kar,FAQ,1500,8000,4750,22-Dec-10
7,Pune,Pune,Rice,1009 Kar,FAQ,1800,7500,4650,01-Jun-10
8,Pune,Pune,Rice,1009 Kar,FAQ,1600,9000,5300,02-Sep-09
9,Pune,Pune,Rice,1009 Kar,FAQ,1000,3500,2250,05-May-06
10,Pune,Pune,Rice,1009 Kar,FAQ,1650,7200,4425,14-Jan-10
11,Pune,Pune,Rice,1009 Kar,FAQ,2200,8500,5350,11-Jan-13
12,Pune,Pune,Rice,1009 Kar,FAQ,1900,8500,5200,19-Jul-12
13,Pune,Pune,Rice,1009 Kar,FAQ,1050,4200,2625,30-May-06
14,Pune,Pune,Rice,1009 Kar,FAQ,1600,9500,5550,27-Nov-09
15,Pune,Pune,Rice,1009 Kar,FAQ,1800,9000,5400,11-Oct-12
16,Pune,Pune,Rice,1009 Kar,FAQ,1600,7000,4300,23-Mar-11
17,Pune,Pune,Rice,1009 Kar,FAQ,1600,8000,4800,19-Sep-09
18,Pune,Pune,Rice,1009 Kar,FAQ,1350,8000,4975,15-May-08
19,Pune,Pune,Rice,1009 Kar,FAQ,1650,8500,5075,06-Dec-08
20,Pune,Pune,Rice,1009 Kar,FAQ,1500,9000,5250,28-Jul-08
21,Pune,Pune,Rice,1009 Kar,FAQ,1600,7000,4300,11-Nov-11
22,Pune,Pune,Rice,1009 Kar,FAQ,1700,8500,5100,10-Jun-11
23,Pune,Pune,Rice,1009 Kar,FAQ,1100,3500,2300,19-Jun-06
24,Pune,Pune,Rice,1009 Kar,FAQ,1800,7000,4400,03-Dec-11
25,Pune,Pune,Rice,1009 Kar,FAQ,1200,6000,3600,14-Dec-07
26,Pune,Pune,Rice,1009 Kar,FAQ,1000,5000,3000,20-Mar-06
27,Pune,Pune,Rice,1009 Kar,FAQ,1700,8000,4850,06-Jun-12
28,Pune,Pune,Rice,1009 Kar,FAQ,1650,8500,5075,16-Dec-08
29,Pune,Pune,Rice,Other,FAQ,2500,2800,2700,06-Aug-20
30,Pune,Pune,Rice,1009 Kar,FAQ,1100,4400,2750,27-Dec-06
31,Pune,Pune,Rice,1009 Kar,FAQ,1050,4100,2575,21-Jun-06
32,Pune,Pune,Rice,1009 Kar,FAQ,1700,8000,4850,16-Jul-11
33,Pune,Pune,Rice,1009 Kar,FAQ,1700,8200,4950,22-Sep-10
34,Pune,Pune,Rice,1009 Kar,FAQ,1600,8000,4800,16-Jan-10
35,Pune,Pune,Rice,1009 Kar,FAQ,1600,8000,4800,26-Jul-10
36,Pune,Pune,Rice,1009 Kar,FAQ,1900,7500,4700,15-May-12
37,Pune,Pune,Rice,1009 Kar,FAQ,1800,8000,4900,16-Nov-12
38,Pune,Pune,Rice,1009 Kar,FAQ,1600,8000,4800,03-Feb-09
39,Pune,Pune,Rice,1009 Kar,FAQ,1900,7000,4450,09-Jul-12
40,Pune,Pune,Rice,1009 Kar,FAQ,1550,8500,5025,30-Jun-08
41,Pune,Pune,Rice,1009 Kar,FAQ,2250,8000,5125,09-Jul-13
42,Pune,Pune,Rice,1009 Kar,FAQ,1300,6100,3700,01-Dec-07
43,Pune,Pune,Rice,1009 Kar,FAQ,2200,8000,5100,30-Mar-13
44,Pune,Pune,Rice,1009 Kar,FAQ,1500,7500,4500,09-Sep-09
45,Pune,Pune,Rice,Other,FAQ,3400,5600,4500,02-Jun-20
46,Pune,Pune,Rice,1009 Kar,FAQ,1950,7500,4725,24-Nov-12
47,Pune,Pune,Rice,1009 Kar,FAQ,1500,9000,5250,10-Sep-09
48,Pune,Pune,Rice,1009 Kar,FAQ,1900,8000,4950,28-Aug-12
49,Pune,Pune,Rice,1009 Kar,FAQ,800,4500,2650,30-Nov-05
50,Pune,Pune,Rice,1009 Kar,FAQ,1800,7100,4450,14-May-12
51,Pune,Pune,Rice,1009 Kar,FAQ,2300,8000,5150,28-Jun-13
52,Pune,Pune,Rice,1009 Kar,FAQ,1125,4600,2850,04-Jul-07
53,Pune,Pune,Rice,1009 Kar,FAQ,1900,6500,4200,02-Aug-12
54,Pune,Pune,Rice,Other,FAQ,2700,3100,2950,31-Jul-20
55,Pune,Pune,Rice,1009 Kar,FAQ,850,4500,2675,15-Dec-05
56,Pune,Pune,Rice,1009 Kar,FAQ,1800,8500,5150,28-Apr-12
57,Pune,Pune,Rice,1009 Kar,FAQ,1000,4500,2750,26-Jun-06
58,Pune,Pune,Rice,1009 Kar,FAQ,1100,6000,3550,13-Nov-07
59,Pune,Pune,Rice,1009 Kar,FAQ,1700,8500,5100,11-Jun-11
60,Pune,Pune,Rice,1009 Kar,FAQ,1700,7000,4350,05-Feb-10
61,Pune,Pune,Rice,1009 Kar,FAQ,1850,7000,4425,24-May-12
62,Pune,Pune,Rice,1009 Kar,FAQ,1550,8000,4775,15-Jan-10
63,Pune,Pune,Rice,1009 Kar,FAQ,1350,5000,3175,02-Feb-08
64,Pune,Pune,Rice,1009 Kar,FAQ,2400,8500,5450,31-Jul-13
65,Pune,Pune,Rice,1009 Kar,FAQ,1700,7500,4600,05-Jul-10
66,Pune,Pune,Rice,Other,FAQ,7500,9000,8250,20-Jun-20
67,Pune,Pune,Rice,1009 Kar,FAQ,1100,5300,3200,26-Oct-07
68,Pune,Pune,Rice,1009 Kar,FAQ,1600,9600,5600,07-Jan-11
69,Pune,Pune,Rice,1009 Kar,FAQ,1050,4500,2775,03-Mar-07
70,Pune,Pune,Rice,1009 Kar,FAQ,1800,8500,5150,22-Mar-12
71,Pune,Pune,Rice,1009 Kar,FAQ,1500,8000,4750,17-Sep-10
72,Pune,Pune,Rice,1009 Kar,FAQ,1550,7000,4275,06-Oct-08
73,Pune,Pune,Rice,1009 Kar,FAQ,1850,7500,4675,29-Oct-11
74,Pune,Pune,Rice,1009 Kar,FAQ,1800,9000,5400,03-Jun-10
75,Pune,Pune,Rice,1009 Kar,FAQ,1600,8000,4600,23-Apr-10
76,Pune,Pune,Rice,1009 Kar,FAQ,1500,8500,5000,30-Dec-09
