Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Pune,Cucumbar(Kheera),Other,FAQ,200,700,450,28-Jun-05
2,Pune,Pune,Cucumbar(Kheera),Other,FAQ,500,1000,750,05-Sep-06
3,Pune,Pune,Cucumbar(Kheera),Other,FAQ,400,1500,950,05-Feb-08
4,Pune,Pune,Cucumbar(Kheera),Other,FAQ,500,1000,750,11-Aug-10
5,Pune,Pune,Cucumbar(Kheera),Other,FAQ,600,1500,1050,27-Dec-12
6,Pune,Pune,Cucumbar(Kheera),Other,FAQ,600,1500,1050,23-Jun-13
7,Pune,Pune,Cucumbar(Kheera),Other,FAQ,600,1800,1200,02-Jan-14
8,Pune,Pune,Cucumbar(Kheera),Other,FAQ,400,800,600,10-Apr-15
9,Pune,Pune,Cucumbar(Kheera),Other,FAQ,600,1200,1000,19-Aug-18
10,Pune,Pune,Cucumbar(Kheera),Other,FAQ,500,1400,1000,22-May-19
11,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1000,2200,1600,31-Dec-09
12,Pune,Pune,Cucumbar(Kheera),Other,FAQ,500,1000,750,13-Jul-10
13,Pune,Pune,Cucumbar(Kheera),Other,FAQ,2500,4000,3250,19-Mar-12
14,Pune,Pune,Cucumbar(Kheera),Other,FAQ,500,1200,1000,15-Sep-16
15,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1000,2500,2200,16-Dec-16
16,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1000,2500,1500,26-Feb-19
17,Pune,Pune,Cucumbar(Kheera),Other,FAQ,700,1300,1000,09-Jun-19
18,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1500,4000,2750,09-Jan-25
19,Pune,Pune,Cucumbar(Kheera),Other,FAQ,200,800,500,26-Mar-08
20,Pune,Pune,Cucumbar(Kheera),Other,FAQ,700,1500,1100,03-Jan-11
21,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1000,3000,2000,14-Feb-11
22,Pune,Pune,Cucumbar(Kheera),Other,FAQ,600,1500,1050,07-Dec-11
23,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1200,3000,2100,27-Jun-14
24,Pune,Pune,Cucumbar(Kheera),Other,FAQ,500,1200,1000,26-Nov-15
25,Pune,Pune,Cucumbar(Kheera),Other,FAQ,800,2500,1300,24-Mar-19
26,Pune,Pune,Cucumbar(Kheera),Other,FAQ,700,2000,1600,25-Aug-19
27,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1000,2000,1500,18-May-22
28,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1000,2000,1500,17-May-24
29,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1000,2500,1750,14-Jan-25
30,Pune,Pune,Cucumbar(Kheera),Other,FAQ,300,1000,650,30-Jan-06
31,Pune,Pune,Cucumbar(Kheera),Other,FAQ,200,600,400,07-Feb-07
32,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1000,2000,1500,11-Mar-08
33,Pune,Pune,Cucumbar(Kheera),Other,FAQ,200,1000,600,25-Jun-08
34,Pune,Pune,Cucumbar(Kheera),Other,FAQ,700,1800,1250,04-Jan-09
35,Pune,Pune,Cucumbar(Kheera),Other,FAQ,400,1000,700,27-Mar-14
36,Pune,Pune,Cucumbar(Kheera),Other,FAQ,400,1000,800,05-Sep-16
37,Pune,Pune,Cucumbar(Kheera),Other,FAQ,800,1500,1300,29-Mar-17
38,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1000,2000,1500,16-Jan-19
39,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1200,2500,1850,11-Mar-21
40,Pune,Pune,Cucumbar(Kheera),Other,FAQ,800,1200,1000,14-Sep-21
41,Pune,Pune,Cucumbar(Kheera),Other,FAQ,300,800,550,05-Nov-06
42,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1000,2000,1500,05-Jan-14
43,Pune,Pune,Cucumbar(Kheera),Other,FAQ,700,3000,2000,11-Aug-15
44,Pune,Pune,Cucumbar(Kheera),Other,FAQ,800,2500,1800,21-Jun-17
45,Pune,Pune,Cucumbar(Kheera),Other,FAQ,400,1200,1000,10-Dec-17
46,Pune,Pune,Cucumbar(Kheera),Other,FAQ,400,1200,800,09-Mar-20
47,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1000,2000,1500,12-Jul-24
48,Pune,Pune,Cucumbar(Kheera),Other,FAQ,300,800,550,29-Jul-05
49,Pune,Pune,Cucumbar(Kheera),Other,FAQ,200,600,400,01-Aug-06
50,Pune,Pune,Cucumbar(Kheera),Other,FAQ,400,1200,800,11-Feb-08
51,Pune,Pune,Cucumbar(Kheera),Other,FAQ,300,1000,650,29-Apr-08
52,Pune,Pune,Cucumbar(Kheera),Other,FAQ,200,800,500,11-Jun-08
53,Pune,Pune,Cucumbar(Kheera),Other,FAQ,200,800,500,08-Aug-08
54,Pune,Pune,Cucumbar(Kheera),Other,FAQ,300,1000,650,12-Sep-10
55,Pune,Pune,Cucumbar(Kheera),Other,FAQ,200,600,400,10-May-11
56,Pune,Pune,Cucumbar(Kheera),Other,FAQ,500,1600,1050,18-Mar-15
57,Pune,Pune,Cucumbar(Kheera),Other,FAQ,2000,3500,3200,05-Feb-16
58,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1000,1600,1300,16-Mar-23
59,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1000,2000,1500,03-Oct-24
60,Pune,Pune,Cucumbar(Kheera),Other,FAQ,300,1000,650,20-May-06
61,Pune,Pune,Cucumbar(Kheera),Other,FAQ,800,1400,1100,29-Jan-13
62,Pune,Pune,Cucumbar(Kheera),Other,FAQ,800,1400,1200,09-Oct-15
63,Pune,Pune,Cucumbar(Kheera),Other,FAQ,800,2000,1400,25-Mar-19
64,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1000,2500,1750,09-Jun-20
65,Pune,Pune,Cucumbar(Kheera),Other,FAQ,800,1800,1300,07-Sep-20
66,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1500,3000,2250,04-Jul-23
67,Pune,Pune,Cucumbar(Kheera),Other,FAQ,400,1600,1000,22-Aug-23
68,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1500,3500,2500,22-Dec-24
69,Pune,Pune,Cucumbar(Kheera),Other,FAQ,300,1200,750,08-Sep-06
70,Pune,Pune,Cucumbar(Kheera),Other,FAQ,400,800,600,15-Apr-11
71,Pune,Pune,Cucumbar(Kheera),Other,FAQ,1000,2000,1500,27-Oct-11
