Variety,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Grade
Local,48,600,1800,1200,30-May-21,FAQ
Local,256,2000,5700,5300,26-Aug-15,FAQ
Local,371,500,2000,1250,27-Jul-21,FAQ
Local,383,500,900,700,24-Jun-20,FAQ
Local,389.1,400,1600,1000,16-Sep-25,Local
Local,391,400,1000,600,07-Jun-18,FAQ
Local,423,500,1000,750,17-Jun-20,FAQ
Local,461,500,900,700,22-Jun-20,FAQ
Local,462,700,2000,1350,12-Aug-21,FAQ
Local,503,350,900,625,09-Jun-20,FAQ
Local,568,2000,6500,3000,20-Nov-19,FAQ
Local,573,1000,2100,1550,06-Jul-21,FAQ
Local,587,800,3700,2250,06-Oct-20,FAQ
Local,589.5,500,1800,1150,30-Jun-25,Local
Local,593,1000,2100,1550,25-Jul-21,FAQ
Local,613,300,1100,700,12-Apr-22,FAQ
Local,614.3,700,2200,1450,25-Jun-25,Local
Local,626,1800,2600,2100,10-Sep-19,FAQ
Local,629.8,600,1500,1050,21-Apr-25,Local
Local,655,300,800,500,28-May-18,FAQ
Local,672,1200,3000,2100,25-Jul-24,FAQ
Local,675.3,1200,3100,2150,17-Jul-24,FAQ
Local,687,1200,3000,2100,16-Oct-23,FAQ
Local,688.5,2000,3800,2900,21-Aug-24,FAQ
Local,689,1500,4000,2750,30-Sep-20,FAQ
Local,691,500,1100,700,10-Sep-18,FAQ
Local,706,1000,3200,2800,25-Nov-15,FAQ
Local,715.9,3500,4800,4150,26-Sep-24,FAQ
Local,725,500,900,700,25-Apr-16,FAQ
Local,727,500,1300,900,05-Jun-23,FAQ
Local,730,500,1100,700,20-Sep-18,FAQ
Local,735,800,2100,1450,11-Jun-21,FAQ
Local,753.2,500,1700,1100,25-Jul-25,Local
Local,756.1,500,2000,1250,11-Jun-25,Local
Local,761,400,850,750,25-Aug-16,FAQ
Local,771,700,1600,1100,08-Nov-18,FAQ
Local,775.4,500,2000,1250,19-Jun-25,Local
Local,782,2500,3800,3000,30-Sep-19,FAQ
Local,786,1000,2200,1600,04-Jun-15,FAQ
Local,786.7,1000,3000,2000,18-Jun-24,FAQ
Local,807.9,400,1500,950,23-May-25,Local
Local,812,700,1700,1200,03-Oct-22,FAQ
Local,822,3000,12500,7000,05-Dec-19,FAQ
Local,824,400,1000,800,04-Nov-16,FAQ
Local,827,800,2100,1450,19-Oct-22,FAQ
Local,839,400,900,800,28-Jul-16,FAQ
Local,844,700,1600,1150,18-Aug-22,FAQ
Local,849,400,850,800,02-Sep-16,FAQ
Local,850.6,500,1500,1000,22-May-25,Local
Local,855,700,1800,1250,28-May-21,FAQ
Local,862,800,2300,1550,01-Sep-23,FAQ
Local,864,600,1500,1050,23-Sep-22,FAQ
Local,234,400,900,700,05-Aug-20,FAQ
Local,282,700,1800,1250,23-Aug-21,FAQ
Local,342,1500,5100,4800,07-Sep-15,FAQ
Local,397.7,1400,3000,2200,05-Aug-24,FAQ
Local,423,500,900,700,12-Jun-20,FAQ
Local,425,500,1200,1000,04-Jun-17,FAQ
Local,427,600,1500,1050,27-Jul-22,FAQ
Local,447,500,900,700,09-Jul-20,FAQ
Local,504,800,2000,1500,23-Mar-20,FAQ
Local,531,500,900,700,10-Jul-20,FAQ
Local,534,600,1700,1150,05-Sep-21,FAQ
Local,543,800,2100,1450,30-Jul-21,FAQ
Local,549,700,1900,1300,19-Jul-21,FAQ
Local,558,500,1000,800,14-Jun-16,FAQ
Local,573,800,2300,1550,24-Oct-22,FAQ
Local,587,2000,6800,3200,21-Nov-19,FAQ
Local,588,700,1700,1200,21-Jun-22,FAQ
Local,639,700,2000,1350,13-Jul-21,FAQ
Local,656,3000,5000,4000,08-Nov-23,FAQ
Local,668,900,2300,2200,19-Jul-15,FAQ
Local,672,500,1500,1000,07-Sep-22,FAQ
Local,690,800,3200,2000,20-Sep-20,FAQ
Local,722.6,500,1700,1100,21-Jul-25,Local
Local,722.7,400,1900,1150,18-Jun-25,Local
Local,752,600,1400,1000,22-Sep-22,FAQ
Local,757,1500,5700,2500,14-Nov-19,FAQ
Local,763,700,1200,1000,22-Jun-16,FAQ
Local,768,2500,11000,4000,15-Dec-19,FAQ
Local,776,300,850,500,19-Mar-18,FAQ
Local,777.2,3200,4800,4000,19-Sep-24,FAQ
Local,792,2000,5300,5000,15-Sep-15,FAQ
Local,808,600,1500,1050,31-Aug-22,FAQ
Local,809,1000,4700,2850,12-Nov-20,FAQ
Local,815.5,500,1700,1100,17-Jul-25,Local
Local,816.5,1400,3000,2200,31-Jul-24,FAQ
Local,817,500,1200,1000,18-Jun-18,FAQ
Local,822,600,1300,900,11-Oct-18,FAQ
Local,828,700,1600,1200,19-Sep-17,FAQ
Local,828.2,1000,3000,2000,27-Jun-24,FAQ
Local,829,700,3200,3000,30-Oct-17,FAQ
Local,829.9,1400,3000,2200,24-Jul-24,FAQ
Local,832.2,700,1700,1200,24-Mar-25,Local
Local,836,1500,5800,2700,18-Nov-19,FAQ
Local,843,500,1100,800,04-Oct-18,FAQ
Local,845,300,800,700,09-Apr-18,FAQ
Local,858.7,700,1500,1100,24-Apr-25,Local
Local,859.4,600,2000,1300,27-Jun-25,Local
Local,864,1000,4500,2750,13-Oct-20,FAQ
Local,864,1400,2500,2000,07-Aug-17,FAQ
Local,871,700,2000,1350,12-Jul-21,FAQ
Local,874.6,500,1700,1100,22-Jul-25,Local
Local,883,300,1100,700,15-Apr-22,FAQ
1st Sort,"1,907.00",400,850,800,05-May-16,FAQ
Local,11,1400,2000,1700,05-Apr-20,FAQ
Local,196,400,1100,800,04-Jun-18,FAQ
Local,351,1500,5200,4900,03-Sep-15,FAQ
Local,361.2,400,1900,1150,20-Jun-25,Local
Local,369,600,1700,1150,02-Sep-21,FAQ
Local,385,700,1800,1250,06-Sep-21,FAQ
Local,403,600,1700,1150,31-Aug-21,FAQ
Local,407,600,1200,900,14-Aug-20,FAQ
Local,408,400,1000,800,06-Jun-18,FAQ
Local,426,700,2100,1400,28-Jul-21,FAQ
Local,444,800,3500,2150,05-Oct-20,FAQ
Local,501,400,800,600,11-Jun-20,FAQ
Local,520,500,900,700,09-Aug-20,FAQ
Local,526.3,500,1800,1150,16-Jul-25,Local
Local,534,500,1000,700,13-Jul-20,FAQ
Local,597,1000,5500,3250,09-Nov-20,FAQ
Local,605,1000,5000,2000,13-Nov-19,FAQ
Local,613,400,1300,850,19-Apr-22,FAQ
Local,623,500,1400,950,14-Jun-23,FAQ
Local,627.4,600,1800,1200,26-May-25,Local
Local,637,500,1100,1000,20-Jul-16,FAQ
Local,638,300,1100,700,16-May-22,FAQ
Local,655.4,3000,4300,3650,13-Sep-24,FAQ
Local,656.2,500,1800,1150,10-Jul-25,Local
Local,658,700,2200,1450,10-Jan-24,FAQ
Local,669,500,1500,1000,04-Aug-22,FAQ
Local,674,1000,2800,1900,09-Dec-20,FAQ
Local,683,700,1600,1150,16-Aug-22,FAQ
Local,687,1500,4100,1900,31-Oct-19,FAQ
Local,688,400,1000,800,14-Jun-18,FAQ
Local,690,1000,6200,2700,19-Nov-19,FAQ
Local,693,700,1700,1200,17-Jul-23,FAQ
Local,702,300,1600,950,17-Sep-25,Local
Local,711,500,1600,1050,19-Jul-22,FAQ
